rebalance_date,fund_name,asset_family,portfolio_method,initial_establishment,one_way_turnover
2021-09-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.05334959596460487
2021-10-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.18507694899834953
2021-11-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.1950169645939034
2021-12-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.1865890843741915
2022-01-03,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.12085724576465616
2022-02-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.2668989449929768
2022-03-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.2580942266748473
2022-04-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.13669413614270354
2022-05-02,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.22294970126050698
2022-06-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.23653801413822578
2022-07-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.12647097381110212
2022-08-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.07810134107218909
2022-09-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.1569933727829199
2022-10-03,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.1728778742918594
2022-11-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.14971162414804626
2022-12-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.16185950942958977
2023-01-03,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.06632156478397712
2023-02-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.07361123291456027
2023-03-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.10883056928812668
2023-04-03,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.09522235518432626
2023-05-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.09495812375988943
2023-06-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.19873838376769645
2023-07-03,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.1564163186347914
2023-08-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.04569919851962186
2023-09-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.11149130026283313
2023-10-02,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.11035289532297873
2023-11-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.1662220274631608
2023-12-01,Combined Minimum Variance,Combined equity + cryptocurrency,Minimum Variance,False,0.14816494683093967
