rebalance_date,fund_name,asset_family,portfolio_method,initial_establishment,one_way_turnover
2021-10-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.17405641180588657
2021-11-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.19501284893517704
2021-12-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.18658503653638037
2022-01-03,Equity Minimum Variance,Equity only,Minimum Variance,False,0.12085782343439767
2022-02-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.26689814809904383
2022-03-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.2580954849366906
2022-04-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.13739046482726047
2022-05-02,Equity Minimum Variance,Equity only,Minimum Variance,False,0.2225669340229839
2022-06-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.23444535662818336
2022-07-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.12652928999151186
2022-08-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.07810023871328604
2022-09-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.1569915234853932
2022-10-03,Equity Minimum Variance,Equity only,Minimum Variance,False,0.17287656548547908
2022-11-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.15130771521182795
2022-12-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.16051965706084648
2023-01-03,Equity Minimum Variance,Equity only,Minimum Variance,False,0.06450659146253919
2023-02-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.0730700491003201
2023-03-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.1054354642000233
2023-04-03,Equity Minimum Variance,Equity only,Minimum Variance,False,0.09522166784097083
2023-05-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.09495660393692155
2023-06-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.1987410085500046
2023-07-03,Equity Minimum Variance,Equity only,Minimum Variance,False,0.14325430597585542
2023-08-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.05062808982622734
2023-09-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.10805335676143302
2023-10-02,Equity Minimum Variance,Equity only,Minimum Variance,False,0.1038599251199861
2023-11-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.15660190773542348
2023-12-01,Equity Minimum Variance,Equity only,Minimum Variance,False,0.1382534908221376
2021-01-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,True,0.0
2021-02-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.14434551287242162
2021-03-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.15533662429037423
2021-04-01,Cryptocurrency Equal Weight,Cryptocurrency only,Equal Weight,False,0.07270729548497028
