date,fund_name,asset_family,portfolio_method,daily_return,growth_of_1,drawdown,active_target_rebalance_date
2021-04-29,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.005841852811366491,1.2508858911717118,0.0,2021-04-01
2021-04-30,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.006009640345183083,1.2584032654905175,0.0,2021-04-01
2021-05-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.010412598101248224,1.2715065129433685,0.0,2021-05-03
2021-05-04,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.004417281499657184,1.2658899107470503,-0.004417281499657033,2021-05-03
2021-05-05,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.021647329535600956,1.2932930468007842,0.0,2021-05-03
2021-05-06,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.018680755486848073,1.3174527379809102,0.0,2021-05-03
2021-05-07,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0016602042071404363,1.319639978559215,0.0,2021-05-03
2021-05-10,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.008966861736582026,1.3078069493294084,-0.00896686173658201,2021-05-03
2021-05-11,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.004611778641928067,1.3138382654860907,-0.004396436276095983,2021-05-03
2021-05-12,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.03453478860411235,1.268465138727535,-0.03877939488280191,2021-05-03
2021-05-13,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.014321072781170376,1.2866309202996296,-0.025013684638157785,2021-05-03
2021-05-14,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.01546875844756675,1.306533503216915,-0.009931856836142283,2021-05-03
2021-05-17,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.005034819833263855,1.2999553424220949,-0.014916671559626282,2021-05-03
2021-05-18,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.004794919637106209,1.293722161023354,-0.019640066955351032,2021-05-03
2021-05-19,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.03128801468456295,1.2532441630515108,-0.05031358293660915,2021-05-03
2021-05-20,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.019045959932072865,1.277113401166094,-0.03222589348918603,2021-05-03
2021-05-21,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.009591597145959176,1.2648638439124031,-0.04150839284712826,2021-05-03
2021-05-24,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.021280704493441913,1.291781037599142,-0.021111016195863752,2021-05-03
2021-05-25,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0037197452908871863,1.2869759411676753,-0.024752233883670538,2021-05-03
2021-05-26,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.007631444909107354,1.2967974271620428,-0.017309684283823956,2021-05-03
2021-05-27,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0032719776747802062,1.2925543349316562,-0.020525025058069968,2021-05-03
2021-05-28,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.004332594270526368,1.2869542214257872,-0.024768692722627383,2021-05-03
2021-06-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0002686504629520975,1.286608480578403,-0.02503068906481276,2021-06-01
2021-06-02,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.003970510941124747,1.2917169736274836,-0.02115956274848374,2021-06-01
2021-06-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.003926611805034699,1.296789044744893,-0.01731603633232648,2021-06-01
2021-06-04,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0023010144002716393,1.2997729750109657,-0.015054866381011056,2021-06-01
2021-06-07,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.005716442257658278,1.2923428978512508,-0.02068524836430552,2021-06-01
2021-06-08,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.003694667932754314,1.287568119988437,-0.02430349117324715,2021-06-01
2021-06-09,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0027685000516991416,1.291132752395191,-0.02160227533811776,2021-06-01
2021-06-10,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.002906676021798828,1.2948856570075373,-0.018758390132060487,2021-06-01
2021-06-11,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.002004325527617373,1.2922902846298514,-0.02072511773947927,2021-06-01
2021-06-14,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0006052603269524157,1.2930724566700438,-0.020132401504066033,2021-06-01
2021-06-15,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0023634848793913253,1.2900162994707467,-0.022448303756916754,2021-06-01
2021-06-16,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.012177942417613392,1.2743065552580093,-0.034352872024005277,2021-06-01
2021-06-17,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.003575490572283733,1.269750284183485,-0.037805534226236226,2021-06-01
2021-06-18,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.016077720681620198,1.249335593778975,-0.05327542808834762,2021-06-01
2021-06-21,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.005316157057678125,1.2559772580132516,-0.048242491573702195,2021-06-01
2021-06-22,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0005325402291412008,1.2553083995964731,-0.04874934073532633,2021-06-01
2021-06-23,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0019406901347838908,1.252872234969265,-0.05059542350546786,2021-06-01
2021-06-24,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.008486273669428206,1.2635044516280423,-0.04253851644632778,2021-06-01
2021-06-25,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.004494779629022746,1.2691836256983995,-0.038234938074476865,2021-06-01
2021-06-28,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0015688864218517899,1.2711748306555943,-0.03672603792781037,2021-06-01
2021-06-29,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0016262885573730505,1.2732421277371102,-0.03515947650567697,2021-06-01
2021-06-30,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.003646648872982292,1.2778851947072563,-0.03164104189806882,2021-06-01
2021-07-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0027492526525060602,1.2813984239684035,-0.028978778463928934,2021-07-01
2021-07-02,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.004559696924701367,1.2872412124214894,-0.02455121598627119,2021-07-01
2021-07-06,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.004012435759880957,1.282076239749177,-0.02846514156918023,2021-07-01
2021-07-07,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0009514398588683861,1.2832960581857824,-0.027540784580589173,2021-07-01
2021-07-08,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.008344339595347595,1.2725878000749091,-0.03565531451667414,2021-07-01
2021-07-09,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.010678496629228512,1.2861771246084064,-0.025357563043325926,2021-07-01
2021-07-12,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.002750406435724843,1.2897146344494115,-0.02267690021218971,2021-07-01
2021-07-13,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.005102037681679663,1.283134461785837,-0.027663239494483127,2021-07-01
2021-07-14,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0015369340947366179,1.2851065548882872,-0.026168821975696366,2021-07-01
2021-07-15,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0009013020596359757,1.2839482857035147,-0.027046538022187372,2021-07-01
2021-07-16,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.005905867596544621,1.2763654571273393,-0.03279267234622807,2021-07-01
2021-07-19,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.01609082510792638,1.2558276837829048,-0.04835583629860973,2021-07-01
2021-07-20,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.006857953198094249,1.2644400912631593,-0.04182950516270589,2021-07-01
2021-07-21,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.007874175787963926,1.2743965148151144,-0.0342847022515167,2021-07-01
2021-07-22,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.00048366901289106744,1.2750129009194668,-0.033817615686720925,2021-07-01
2021-07-23,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.00820657605633687,1.285476391263673,-0.025888566465561147,2021-07-01
2021-07-26,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.004089927784600258,1.29073389687275,-0.021904521048251913,2021-07-01
2021-07-27,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0011186898206684314,1.2921778277443734,-0.020810335592306606,2021-07-01
2021-07-28,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.001525488707002688,1.2941490304280368,-0.019316592817238964,2021-07-01
2021-07-29,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.004861625770288482,1.3004406987049595,-0.014548877092384949,2021-07-01
2021-07-30,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0026133296969203844,1.29704221840795,-0.017124185776742906,2021-07-01
2021-08-02,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0011254914821631525,1.2955824084391259,-0.018230404133675382,2021-08-02
2021-08-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0038139789169928462,1.3005237324301395,-0.014485955593696587,2021-08-02
2021-08-04,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.005099260843429929,1.2938920226854072,-0.019511348770987924,2021-08-02
2021-08-05,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.005220145124189917,1.3006463268188566,-0.01439305571895122,2021-08-02
2021-08-06,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0024486843829005984,1.3038311991670148,-0.011979615386811915,2021-08-02
2021-08-09,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0011946432571930867,1.3053888123176176,-0.010799283496364498,2021-08-02
2021-08-10,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.004911243530355691,1.3117998946767113,-0.005941077877212764,2021-08-02
2021-08-11,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.01023457258478538,1.325225605915494,0.0,2021-08-02
2021-08-12,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0012064505500332771,1.326824425076669,0.0,2021-08-02
2021-08-13,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.007961416835188797,1.3373878273918138,0.0,2021-08-02
2021-08-16,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0008517810778484417,1.3362486657466965,-0.0008517810778485568,2021-08-02
2021-08-17,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.005940662130317097,1.3283104639014085,-0.006787383064573049,2021-08-02
2021-08-18,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0105286507540219,1.3143251469340778,-0.01724457183277428,2021-08-02
2021-08-19,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.00230256522080257,1.3173514663062345,-0.014981713363321436,2021-08-02
2021-08-20,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0074394960612479185,1.3271518973510987,-0.00765367369963077,2021-08-02
2021-08-23,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.006134075000445332,1.3352927466264337,-0.0015665469076878713,2021-08-02
2021-08-24,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.00494471740225668,1.328690101345083,-0.0065035181781886164,2021-08-02
2021-08-25,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.00046770721918214876,1.3293115392975379,-0.006038852701408581,2021-08-02
2021-08-26,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.008999107667820107,1.3173489216313237,-0.014983616083578566,2021-08-02
2021-08-27,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.011551147605540756,1.3325658134730871,-0.003605546439083951,2021-08-02
2021-08-30,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0008217716620256906,1.3314707486497908,-0.004424355165219773,2021-08-02
2021-08-31,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0025098371255770314,1.3348125233663717,-0.001925622450493325,2021-08-02
2021-09-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.002901346337419694,1.3386852767921826,0.0,2021-09-01
2021-09-02,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0061839994354341635,1.3469637057880897,0.0,2021-09-01
2021-09-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.00034203171614962107,1.3465030014802077,-0.00034203171614954897,2021-09-01
2021-09-07,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.019316445602623786,1.3204933494983457,-0.01965187048173389,2021-09-01
2021-09-08,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0014083434009127076,1.3223530575930609,-0.01827120366292978,2021-09-01
2021-09-09,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.007644978761629605,1.312243696552386,-0.025776499460606783,2021-09-01
2021-09-10,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.006291818466775478,1.303987297429508,-0.031906136872067226,2021-09-01
2021-09-13,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0006441629886218504,1.304827277784145,-0.03128252663592834,2021-09-01
2021-09-14,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.00572222003999248,1.2973607689864797,-0.03682574117510318,2021-09-01
2021-09-15,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0068074303681455416,1.3061924620837189,-0.030268999475762448,2021-09-01
2021-09-16,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.005622088435377805,1.2988489325482604,-0.03572091291923707,2021-09-01
2021-09-17,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.011864014320381994,1.2834393702124949,-0.04716113381720821,2021-09-01
2021-09-20,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.018030128059615604,1.2602987940108112,-0.06434094059466289,2021-09-01
2021-09-21,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.004233418616379514,1.2549634216340453,-0.06830197707533348,2021-09-01
2021-09-22,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.009101872520379119,1.2663859387154972,-0.05982178044318387,2021-09-01
2021-09-23,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.007939090557201597,1.2764398913633264,-0.05235762041821368,2021-09-01
2021-09-24,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.005598484021917932,1.2692937630265901,-0.057662981138794644,2021-09-01
2021-09-27,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.002211058470234184,1.2664872803006348,-0.05974654338616292,2021-09-01
2021-09-28,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.010879115939463321,1.2527090183423886,-0.06997566975314606,2021-09-01
2021-09-29,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.006422966869612567,1.2607551268644666,-0.06400215429203693,2021-09-01
2021-09-30,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.00781569650734586,1.2509014474228135,-0.07131762938561992,2021-09-01
2021-10-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.013568846821403906,1.2678747375515662,-0.05871648055301504,2021-10-01
2021-10-04,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.002227670109862669,1.2650503308956726,-0.06081334971419339,2021-10-01
2021-10-05,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.005420226808703078,1.2719071906135522,-0.05572274505393815,2021-10-01
2021-10-06,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.00399926677881612,1.27699388678671,-0.05194632839824087,2021-10-01
2021-10-07,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.006351824893681354,1.2851051283458808,-0.04592445748641483,2021-10-01
2021-10-08,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0028237999859730078,1.2814762485024838,-0.04861857598998198,2021-10-01
2021-10-11,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.007367797324096884,1.2720345912278734,-0.055628161499998385,2021-10-01
2021-10-12,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0006643339821006772,1.2711895354225133,-0.056255539804052734,2021-10-01
2021-10-13,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.004997532075855855,1.2775423459002797,-0.051539146592812224,2021-10-01
2021-10-14,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.012135895510625922,1.2930464663205254,-0.04002872477994346,2021-10-01
2021-10-15,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0036598407265267027,1.2977788104392567,-0.03651538281059741,2021-10-01
2021-10-18,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0011656840453904988,1.2962660103854817,-0.03763850145683434,2021-10-01
2021-10-19,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.010775626205266804,1.310234088375988,-0.02726845367419284,2021-10-01
2021-10-20,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.011713699212333189,1.32558177638497,-0.01587416892618454,2021-10-01
2021-10-21,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.001386703836733981,1.3274199657201875,-0.014509477860405573,2021-10-01
2021-10-22,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0010847493114976843,1.3288598836140706,-0.01344046769502727,2021-10-01
2021-10-25,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.005389393528136957,1.3360216324706211,-0.008123510136501033,2021-10-01
2021-10-26,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.003980637944571661,1.3413398508756023,-0.0041752089446218665,2021-10-01
2021-10-27,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.016694032207013522,1.3189474802045342,-0.020799540079042833,2021-10-01
2021-10-28,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.010984439140024695,1.33343537852973,-0.010043572221156816,2021-10-01
2021-10-29,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0013209029162829038,1.3316740398495552,-0.011351208553602943,2021-10-01
2021-11-01,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.005144508266291207,1.338524847955567,-0.00626509667354791,2021-11-01
2021-11-02,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.005982422459627192,1.3465324690687455,-0.0003201546689722834,2021-11-01
2021-11-03,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.00494637239982303,1.3531929201092128,0.0,2021-11-01
2021-11-04,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.002439731210367286,1.3564943471100512,0.0,2021-11-01
2021-11-05,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.00015344865565546824,1.356286194876083,-0.00015344865565547483,2021-11-01
2021-11-08,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.003901571226424158,1.3615778420688076,0.0,2021-11-01
2021-11-09,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0024269997703461575,1.364882391178817,0.0,2021-11-01
2021-11-10,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.005809429218970976,1.3569532035350438,-0.005809429218970985,2021-11-01
2021-11-11,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0010725474588201334,1.3584086002452334,-0.004743112648696757,2021-11-01
2021-11-12,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0013711467857118085,1.360271177831143,-0.0033784693666474297,2021-11-01
2021-11-15,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.002154427409350462,1.357340572321474,-0.005525618108992769,2021-11-01
2021-11-16,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.004102897988959917,1.3517715424169625,-0.00960584505052553,2021-11-01
2021-11-17,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0039941041049524045,1.346372426150437,-0.01356158241033012,2021-11-01
2021-11-18,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.004106185294574369,1.3408439714931577,-0.017612081334640095,2021-11-01
2021-11-19,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.003837003048049811,1.3356991490875794,-0.021381506772926273,2021-11-01
2021-11-22,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.0016481458851526486,1.3334977220312088,-0.022994412815672827,2021-11-01
2021-11-23,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.006566047172428112,1.342253530978391,-0.016579348042494724,2021-11-01
2021-11-24,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,0.0007291421535248527,1.343232224608545,-0.015862294590505477,2021-11-01
2021-11-26,Combined Risk Parity,Combined equity + cryptocurrency,Risk Parity,-0.020191321380816044,1.3161105910724056,-0.035733335283407386,2021-11-01
